주소,위도,경도,,,,,,,,,,,,,,,,,
경기도 화성시 향남읍발안리182-12,37.1281983,126.901566,,,,,,,,,,,,,,,,,
경기도 평택시 청북읍고렴리926-1,37.0630871,126.9313154,,,,,,,,,,,,,,,,,
경기도 평택시 포승읍희곡리260-2,36.9675363,126.8620535,,,,,,,,,,,,,,,,,
경기도 화성시 팔탄면율암리580-17,37.1631798,126.8920111,,,,,,,,,,,,,,,,,
경기도 화성시 팔탄면창곡리1030,37.1738795,126.8913572,,,,,,,,,,,,,,,,,
경기도 평택시 안중읍금곡리 47-8,37.0014603,126.958707,,,,,,,,,,,,,,,,,
경기도 화성시 비봉면양노리645-4,37.222744,126.8517853,,,,,,,,,,,,,,,,,
경기도 평택시 현덕면권관리570-13,36.9170931,126.9064327,,,,,,,,,,,,,,,,,
경기도 안산시 단원구신길동249-20,37.3341335,126.7561756,,,,,,,,,,,,,,,,,
경기도 안산시 상록구사동 1423-632,37.2847615,126.8477323,,,,,,,,,,,,,,,,,
경기도 안산시 단원구와동 56,37.3445161,126.8317215,,,,,,,,,,,,,,,,,
경기도 평택시 독곡동360-3,37.085241,127.0619134,,,,,,,,,,,,,,,,,
경기도 시흥시 월곶동395-13,37.3765741,126.7641101,,,,,,,,,,,,,,,,,
경기도 수원시 권선구입북동426-1,37.2926492,126.9589589,,,,,,,,,,,,,,,,,
경기도 시흥시 방산동203-1,37.4278934,126.7740094,,,,,,,,,,,,,,,,,
경기도 시흥시 계수동174,37.4530308,126.8169138,,,,,,,,,,,,,,,,,
경기도 오산시 갈곶동285,37.1305725,127.0716811,,,,,,,,,,,,,,,,,
경기도 시흥시 대야동332-30,37.4479261,126.7857005,,,,,,,,,,,,,,,,,
경기도 안양시 만안구박달동705-3,37.4037113,126.8852464,,,,,,,,,,,,,,,,,
경기도 수원시 장안구이목동 259,37.3164354,126.9819123,,,,,,,,,,,,,,,,,
경기도 수원시 권선구오목천동414,37.2391496,126.9599003,,,,,,,,,,,,,,,,,
경기도 평택시 진위면견산리333-1,37.106784,127.077436,,,,,,,,,,,,,,,,,
경기도 화성시 안녕동15-11,37.2053279,127.0226157,,,,,,,,,,,,,,,,,
경기도 수원시 팔달구화서동647-2,37.2867134,126.9933873,,,,,,,,,,,,,,,,,
경기도 시흥시 정왕동1112-2,37.3712312,126.738458,,,,,,,,,,,,,,,,,
경기도 수원시 장안구파장동 130,37.3174816,126.9886448,,,,,,,,,,,,,,,,,
경기도 용인시 기흥구영덕동1293,37.2595166,127.091005,,,,,,,,,,,,,,,,,
경기도 화성시 서신면상안리274-1,37.1797041,126.708942,,,,,,,,,,,,,,,,,
경기도 수원시 영통구원천동409-2,37.2592103,127.0645549,,,,,,,,,,,,,,,,,
경기도 용인시 처인구삼가동 39-7,37.2490116,127.1607168,,,,,,,,,,,,,,,,,
경기도 수원시 팔달구우만동 22,37.2822295,127.0398049,,,,,,,,,,,,,,,,,
경기도 성남시 중원구갈현동 351,37.4225727,127.1667045,,,,,,,,,,,,,,,,,
경기도 평택시 장안동90-1,37.0644818,127.0921167,,,,,,,,,,,,,,,,,
경기도 평택시 동삭동337-1,37.0188081,127.0955036,,,,,,,,,,,,,,,,,
경기도 평택시 장당동52-7,37.043509,127.0631208,,,,,,,,,,,,,,,,,
경기도 평택시 팽성읍석근리 2-18,36.943079,127.0510662,,,,,,,,,,,,,,,,,
경기도 평택시 진위면동천리606-3,37.1253263,127.0979446,,,,,,,,,,,,,,,,,
경기도 평택시 죽백동442-1,37.0177209,127.1174682,,,,,,,,,,,,,,,,,
경기도 평택시 도일동992,37.044163,127.1016589,,,,,,,,,,,,,,,,,
경기도 평택시 도일동1005-3,37.0349166,127.0991758,,,,,,,,,,,,,,,,,
경기도 화성시 방교동827-3,37.180257,127.092458,,,,,,,,,,,,,,,,,
경기도 화성시 영천동61,37.2058535,127.1129513,,,,,,,,,,,,,,,,,
경기도 평택시 소사동1-17,36.9927443,127.1352123,,,,,,,,,,,,,,,,,
경기도 화성시 석우동28,37.2212694,127.0762024,,,,,,,,,,,,,,,,,
